modality,model,fold,accuracy,f1_macro
EEG,SVM (RBF),1,62.963,62.6864
EEG,SVM (RBF),2,59.2593,58.8608
EEG,SVM (RBF),3,57.8704,57.6884
EEG,SVM (RBF),4,67.1296,67.1907
EEG,SVM (RBF),5,62.037,61.6831
EEG,Random Forest,1,55.5556,55.3543
EEG,Random Forest,2,56.4815,56.1529
EEG,Random Forest,3,50.463,49.8726
EEG,Random Forest,4,52.7778,52.6819
EEG,Random Forest,5,57.4074,57.3606
EEG,LDA,1,58.7963,58.7977
EEG,LDA,2,58.3333,58.2528
EEG,LDA,3,57.4074,57.2369
EEG,LDA,4,57.4074,56.961
EEG,LDA,5,57.4074,57.2793
EEG,kNN,1,38.4259,36.1039
EEG,kNN,2,42.1296,40.3346
EEG,kNN,3,38.8889,37.0077
EEG,kNN,4,38.8889,37.2624
EEG,kNN,5,45.8333,44.662
Eye,SVM (RBF),1,67.5926,67.314
Eye,SVM (RBF),2,72.6852,72.288
Eye,SVM (RBF),3,69.9074,69.5763
Eye,SVM (RBF),4,71.7593,71.4411
Eye,SVM (RBF),5,71.2963,71.3017
Eye,Random Forest,1,61.1111,60.1647
Eye,Random Forest,2,64.8148,64.2673
Eye,Random Forest,3,67.5926,67.3994
Eye,Random Forest,4,62.5,61.4608
Eye,Random Forest,5,65.7407,65.5392
Eye,LDA,1,62.5,61.9705
Eye,LDA,2,62.037,61.693
Eye,LDA,3,62.963,62.9481
Eye,LDA,4,61.1111,60.391
Eye,LDA,5,64.3519,64.4379
Eye,kNN,1,60.6481,59.8495
Eye,kNN,2,61.1111,60.1951
Eye,kNN,3,63.4259,62.5653
Eye,kNN,4,63.4259,62.9017
Eye,kNN,5,59.2593,58.585
