feature,avg_anova_pval,avg_kw_pval,anova_sig_all,kw_sig_all,sig_folds_anova,sig_folds_kw
eye_0,0.0,0.0,True,True,5,5
eye_1,0.0,0.0,True,True,5,5
eye_4,0.0,0.0,True,True,5,5
eye_5,0.0,0.0,True,True,5,5
eye_8,0.0,0.0,True,True,5,5
eye_9,0.0,0.0,True,True,5,5
eye_10,5.879781935222272e-284,1.3152606616735903e-108,True,True,5,5
eye_25,5.998056034230472e-227,1.1669126363475068e-239,True,True,5,5
eye_23,9.178391763504728e-192,2.504408397181673e-181,True,True,5,5
eye_17,9.329918469630343e-163,6.098134127507272e-191,True,True,5,5
eye_3,6.6045245377294144e-133,3.2502613156029966e-120,True,True,5,5
eye_12,8.750022987635116e-117,1.0811668299745724e-218,True,True,5,5
eye_11,1.756853070425676e-115,4.220374300681098e-62,True,True,5,5
eye_20,1.6098740951717474e-108,8.63259099845275e-80,True,True,5,5
eye_16,3.585803601811505e-104,6.717306721581926e-110,True,True,5,5
eye_24,1.7530356941652995e-95,1.3595345604638985e-247,True,True,5,5
eye_30,5.859743369567892e-93,6.177745183607591e-93,True,True,5,5
eye_27,4.803034285159026e-90,2.448683906320621e-93,True,True,5,5
eye_2,4.106261227145308e-80,4.1849763516016013e-26,True,True,5,5
eye_15,7.886616366570912e-74,1.1493778083804052e-67,True,True,5,5
eye_6,2.1769487241701697e-67,0.00016249440952503208,True,True,5,5
eye_13,8.776424964255676e-67,1.2969902287177427e-28,True,True,5,5
eye_7,3.9962705807321086e-40,1.4387027631189553e-119,True,True,5,5
eye_18,9.458173361089542e-40,2.0420558832836787e-19,True,True,5,5
eye_28,5.877811535152467e-38,1.417228151847075e-19,True,True,5,5
eye_26,1.4419723790565344e-37,4.0645659414396935e-80,True,True,5,5
eye_14,3.865718725020562e-22,1.3395059612827533e-148,True,True,5,5
eye_29,5.810373720613135e-22,2.769863769150608e-147,True,True,5,5
eye_19,1.9053646230645675e-20,1.116984267772956e-145,True,True,5,5
eye_21,1.206405363783171e-17,2.785812589666426e-17,True,True,5,5
eye_22,4.0272812458492366e-05,3.0077507521320997e-09,True,True,5,5
