modality,model,class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
eeg,LDA,fear,37.239999999999995,9.245515128969288,25.186,20.93461320397394,23.136000000000003,15.340111798810334
eeg,LDA,happy,45.892,18.31476917681465,28.598000000000003,15.163661167409407,29.51,10.080855618448268
eeg,LDA,neutral,49.384,22.236475215285353,36.492000000000004,22.51271129828658,34.844,6.089977832471967
eeg,LDA,sad,27.47,3.931265699491704,38.126,16.563252398004447,29.798000000000002,7.398727593309542
eeg,RandomForest,fear,31.428000000000004,3.1655283919118475,44.074,4.421422847907673,36.489999999999995,1.8611421224613676
eeg,RandomForest,happy,40.21,11.206192484514983,37.366,19.76611949776688,35.779999999999994,13.678196153002046
eeg,RandomForest,neutral,29.844,4.618931694667069,33.158,23.587705907951285,28.353999999999996,13.321320505115098
eeg,RandomForest,sad,28.832,19.10510978769816,17.916,18.553563808605613,20.678,17.120805179663716
eeg,SVM_RBF,fear,21.366,4.549168055809766,22.038,20.458448621535307,18.886000000000003,12.237713430212361
eeg,SVM_RBF,happy,31.926,3.2557687264300577,41.93,23.028750508874772,33.586,13.933740703773699
eeg,SVM_RBF,neutral,36.346,8.087050142048088,33.158,15.649427146065124,33.782,10.819672823149503
eeg,SVM_RBF,sad,37.814,10.449719134981569,30.418,14.480087016313128,31.939999999999998,10.800064814620326
eeg,kNN,fear,21.2,6.43417438371078,20.372,14.638499581582808,19.35,10.279698439156666
eeg,kNN,happy,30.865999999999996,5.172971099861276,29.3,14.83145812116934,28.381999999999998,10.310556241057029
eeg,kNN,neutral,30.038,3.724663743212265,37.194,14.956319065866442,32.226,7.013139810384503
eeg,kNN,sad,16.747999999999998,10.203973245750891,17.918,15.633253660067055,16.79,12.116575423773833
eye,LDA,fear,49.274,12.294821267509343,44.628,14.79144245839465,44.38,7.912133087859431
eye,LDA,happy,45.748000000000005,8.20306771884763,41.054,15.324636374152567,41.944,10.149430033258028
eye,LDA,neutral,49.37,11.221468264001823,47.018,19.74634320576851,45.406,6.080430083472714
eye,LDA,sad,36.083999999999996,6.012393866007118,39.166,12.093788901746217,37.096,7.672126823769272
eye,RandomForest,fear,46.236000000000004,6.753082999638019,47.775999999999996,12.517644746516815,45.604,4.631077628371176
eye,RandomForest,happy,45.57000000000001,4.01179510942421,43.332,10.91287404857217,43.922000000000004,6.577725290706508
eye,RandomForest,neutral,52.048,7.669857886558266,44.912,20.4429626033019,45.477999999999994,9.94618871729267
eye,RandomForest,sad,33.446,8.459458020464432,36.458,11.504604295672234,34.56,9.439761649533319
eye,SVM_RBF,fear,44.892,4.02005845728641,41.85,12.324919878035718,42.327999999999996,7.154681684044371
eye,SVM_RBF,happy,42.714,2.3329016267301155,47.37,13.58933037349523,44.14,6.61061646142022
eye,SVM_RBF,neutral,52.086,11.748139427160373,39.472,18.29500122984418,43.174,13.08418816740267
eye,SVM_RBF,sad,41.824,7.365818352362487,50.624,15.8602515742973,45.242000000000004,10.178267043067796
eye,kNN,fear,43.322,9.934043486919112,42.224000000000004,12.310425662827422,42.234,9.415446351607553
eye,kNN,happy,36.802,3.579171691886268,39.826,8.673893589386488,38.126,5.781325972473787
eye,kNN,neutral,43.288,7.250859948999156,33.332,11.300363710960811,37.06,9.385779136544818
eye,kNN,sad,31.639999999999997,9.392462403438197,38.75,13.469229747836362,34.790000000000006,11.061604766036435
