modality,model,fold,agg_method,accuracy,precision,recall,f1
eeg,SVM_RBF,1,majority,37.5,54.85,37.19,30.55
eeg,SVM_RBF,1,proba_avg,38.89,55.36,38.59,32.05
eeg,RandomForest,1,majority,35.65,37.38,35.33,31.94
eeg,RandomForest,1,proba_avg,32.41,31.73,32.13,28.65
eeg,LDA,1,majority,31.02,37.52,31.16,24.36
eeg,LDA,1,proba_avg,31.94,42.75,31.98,25.28
eeg,kNN,1,majority,31.94,32.93,32.91,29.65
eeg,kNN,1,proba_avg,29.63,31.65,30.23,28.76
eeg,SVM_RBF,2,majority,33.8,38.09,33.05,30.9
eeg,SVM_RBF,2,proba_avg,35.19,38.28,34.33,30.8
eeg,RandomForest,2,majority,30.56,32.25,29.78,25.61
eeg,RandomForest,2,proba_avg,31.94,34.61,31.2,26.68
eeg,LDA,2,majority,33.33,36.47,33.43,33.33
eeg,LDA,2,proba_avg,32.87,36.46,32.97,32.87
eeg,kNN,2,majority,23.15,21.99,22.77,22.32
eeg,kNN,2,proba_avg,25.93,24.44,25.56,24.93
eeg,SVM_RBF,3,majority,30.09,35.83,30.61,24.31
eeg,SVM_RBF,3,proba_avg,30.56,38.42,31.05,24.59
eeg,RandomForest,3,majority,36.57,35.75,36.86,35.68
eeg,RandomForest,3,proba_avg,36.57,36.29,36.72,35.63
eeg,LDA,3,majority,31.48,37.76,32.07,27.66
eeg,LDA,3,proba_avg,31.48,38.15,32.07,27.73
eeg,kNN,3,majority,22.69,21.79,22.24,21.73
eeg,kNN,3,proba_avg,20.83,20.15,20.43,20.06
eeg,SVM_RBF,4,majority,27.78,32.76,27.68,22.84
eeg,SVM_RBF,4,proba_avg,30.56,37.35,30.91,26.35
eeg,RandomForest,4,majority,31.48,31.83,31.37,29.54
eeg,RandomForest,4,proba_avg,30.09,30.96,29.86,27.91
eeg,LDA,4,majority,33.33,34.02,32.59,31.98
eeg,LDA,4,proba_avg,31.48,32.05,30.71,29.88
eeg,kNN,4,majority,28.24,26.1,27.35,25.43
eeg,kNN,4,proba_avg,29.63,26.99,28.69,26.56
eeg,SVM_RBF,5,majority,42.36,45.05,41.07,38.74
eeg,SVM_RBF,5,proba_avg,41.67,46.43,40.59,39.2
eeg,RandomForest,5,majority,34.72,28.1,33.19,29.35
eeg,RandomForest,5,proba_avg,36.11,29.84,34.54,30.56
eeg,LDA,5,majority,29.86,52.23,30.64,28.92
eeg,LDA,5,proba_avg,31.94,50.56,32.77,30.86
eeg,kNN,5,majority,24.31,18.17,23.1,18.5
eeg,kNN,5,proba_avg,24.31,16.49,23.06,17.83
