iteration,best_accuracy,lr,dropout,hidden_dim,batch_size,weight_decay
1,0.9005,0.000479,0.483005,256,64,0.000215
2,0.9005,0.000479,0.483005,256,64,0.000215
3,0.9005,0.000479,0.483005,256,64,0.000215
4,0.9005,0.000479,0.483005,256,64,0.000215
5,0.9005,0.000479,0.483005,256,64,0.000215
6,0.9005,0.000479,0.483005,256,64,0.000215
7,0.9005,0.000479,0.483005,256,64,0.000215
8,0.9005,0.000479,0.483005,256,64,0.000215
9,0.9005,0.000479,0.483005,256,64,0.000215
10,0.9005,0.000479,0.483005,256,64,0.000215
