generation,best_accuracy,lr,dropout,hidden_dim,batch_size,weight_decay
1,0.9521,0.000395,0.259902,128,64,4.7e-05
2,0.9622,0.000194,0.217425,256,64,0.000708
3,0.9628,0.000194,0.217425,256,64,0.000708
4,0.9656,0.000194,0.217425,256,64,0.000708
5,0.9867,0.000395,0.217425,256,64,4.7e-05
6,0.989,0.000395,0.217425,256,64,0.000676
7,0.9887,0.000395,0.204806,256,64,4.7e-05
8,0.9899,0.000395,0.204806,256,64,4.7e-05
9,0.9917,0.000416,0.204806,256,64,0.000676
10,0.9901,0.000416,0.204806,256,64,0.000614
